name	code	global_id	parent_id	local_id	level
Lombardia	ITC4	216	45	56	4
Abruzzo	ITF1	217	45	56	4
Molise	ITF2	218	45	56	4
Campania	ITF3	219	45	56	4
Puglia	ITF4	220	45	56	4
Basilicata	ITF5	221	45	56	4
Calabria	ITF6	222	45	56	4
Sicilia	ITG1	223	45	56	4
Sardegna	ITG2	224	45	56	4
Provincia Autonoma di Bolzano/Bozen	ITH1	225	45	56	4
Provincia Autonoma di Trento	ITH2	226	45	56	4
Veneto	ITH3	227	45	56	4
Friuli-Venezia Giulia	ITH4	228	45	56	4
Emilia-Romagna	ITH5	229	45	56	4
Toscana	ITI1	230	45	56	4
Umbria	ITI2	231	45	56	4
Marche	ITI3	232	45	56	4
Lazio	ITI4	233	45	56	4
Sostinės regionas	LT01	234	46	56	4
Vidurio ir vakarų Lietuvos regionas	LT02	235	46	56	4
Luxembourg	LU00	236	47	56	4
Latvija	LV00	237	48	56	4
Malta	MT00	238	49	56	4
Groningen	NL11	239	50	56	4
Friesland (NL)	NL12	240	50	56	4
Drenthe	NL13	241	50	56	4
Overijssel	NL21	242	50	56	4
Gelderland	NL22	243	50	56	4
Flevoland	NL23	244	50	56	4
Utrecht	NL31	245	50	56	4
Noord-Holland	NL32	246	50	56	4
Zuid-Holland	NL33	247	50	56	4
Zeeland	NL34	248	50	56	4
Noord-Brabant	NL41	249	50	56	4
Limburg (NL)	NL42	250	50	56	4
Małopolskie	PL21	251	51	56	4
Śląskie	PL22	252	51	56	4
Wielkopolskie	PL41	253	51	56	4
Zachodniopomorskie	PL42	254	51	56	4
Lubuskie	PL43	255	51	56	4
Dolnośląskie	PL51	256	51	56	4
Opolskie	PL52	257	51	56	4
Kujawsko-pomorskie	PL61	258	51	56	4
Warmińsko-mazurskie	PL62	259	51	56	4
Pomorskie	PL63	260	51	56	4
Łódzkie	PL71	261	51	56	4
Świętokrzyskie	PL72	262	51	56	4
Lubelskie	PL81	263	51	56	4
Podkarpackie	PL82	264	51	56	4
Podlaskie	PL84	265	51	56	4
Warszawski stołeczny	PL91	266	51	56	4
Mazowiecki regionalny	PL92	267	51	56	4
Norte	PT11	268	52	56	4
Algarve	PT15	269	52	56	4
Centro (PT)	PT16	270	52	56	4
Área Metropolitana de Lisboa	PT17	271	52	56	4
Alentejo	PT18	272	52	56	4
Região Autónoma dos Açores	PT20	273	52	56	4
Região Autónoma da Madeira	PT30	274	52	56	4
Nord-Vest	RO11	275	53	56	4
Centru	RO12	276	53	56	4
Nord-Est	RO21	277	53	56	4
Sud-Est	RO22	278	53	56	4
Sud - Muntenia	RO31	279	53	56	4
Bucureşti - Ilfov	RO32	280	53	56	4
Sud-Vest Oltenia	RO41	281	53	56	4
Vest	RO42	282	53	56	4
Stockholm	SE11	283	54	56	4
Östra Mellansverige	SE12	284	54	56	4
Småland med öarna	SE21	285	54	56	4
Sydsverige	SE22	286	54	56	4
Västsverige	SE23	287	54	56	4
Norra Mellansverige	SE31	288	54	56	4
Mellersta Norrland	SE32	289	54	56	4
Övre Norrland	SE33	290	54	56	4
Vzhodna Slovenija	SI03	291	55	56	4
Zahodna Slovenija	SI04	292	55	56	4
Bratislavský kraj	SK01	293	56	56	4
Západné Slovensko	SK02	294	56	56	4
Stredné Slovensko	SK03	295	56	56	4
Východné Slovensko	SK04	296	56	56	4
Tees Valley and Durham	UKC1	297	8	56	4
Northumberland and Tyne and Wear	UKC2	298	9	56	4
Cumbria	UKD1	299	10	56	4
Greater Manchester	UKD3	300	11	56	4
Lancashire	UKD4	301	12	56	4
Cheshire	UKD6	302	13	56	4
Merseyside	UKD7	303	14	56	4
East Yorkshire and Northern Lincolnshire	UKE1	304	15	56	4
North Yorkshire	UKE2	305	16	56	4
South Yorkshire	UKE3	306	17	56	4
West Yorkshire	UKE4	307	18	56	4
Derbyshire and Nottinghamshire	UKF1	308	19	56	4
Leicestershire Rutland and Northamptonshire	UKF2	309	20	56	4
Lincolnshire	UKF3	310	21	56	4
Herefordshire Worcestershire and Warwickshire	UKG1	311	22	56	4
Shropshire and Staffordshire	UKG2	312	23	56	4
West Midlands	UKG3	313	24	56	4
East Anglia	UKH1	314	25	56	4
Bedfordshire and Hertfordshire	UKH2	315	26	56	4
Essex	UKH3	316	27	56	4
Inner London — West	UKI3	317	28	56	4
Inner London — East	UKI4	318	29	56	4
Outer London — East and North East	UKI5	319	30	56	4
Outer London — South	UKI6	320	31	56	4
Outer London — West and North West	UKI7	321	32	56	4
Berkshire Buckinghamshire and Oxfordshire	UKJ1	322	33	56	4
Surrey East and West Sussex	UKJ2	323	34	56	4
Hampshire and Isle of Wight	UKJ3	324	35	56	4
Kent	UKJ4	325	36	56	4
Gloucestershire Wiltshire and Bristol/Bath area	UKK1	326	37	56	4
Dorset and Somerset	UKK2	327	38	56	4
Cornwall and Isles of Scilly	UKK3	328	39	56	4
Devon	UKK4	329	40	56	4
West Wales and The Valleys	UKL1	330	41	56	4
East Wales	UKL2	331	42	56	4
North Eastern Scotland	UKM5	332	43	56	4
Highlands and Islands	UKM6	333	44	56	4
Eastern Scotland	UKM7	334	45	56	4
West Central Scotland	UKM8	335	46	56	4
Southern Scotland	UKM9	336	47	56	4
Northern Ireland	UKN0	337	48	56	4
